Force (N),Position (mm),Time (min),Engineering Stress,Engineering Strain,True Strain,True Stress
10123.8,0.845074,0.24,128.900225,0.1690148,0.156161343,150.6862708
10138.6,0.847532,0.241,129.0886645,0.1695064,0.156581779,150.9700193
10153.2,0.850791,0.242,129.2745575,0.1701582,0.157138953,151.2716835
10166.1,0.853096,0.242,129.4388054,0.1706192,0.15753284,151.5235508
10181.5,0.855836,0.243,129.6348842,0.1711672,0.158000858,151.8241244
10196.9,0.858542,0.244,129.8309631,0.1717084,0.158462855,152.1240301
10211.4,0.861785,0.244,130.0155829,0.172357,0.159016252,152.4246787
10226.3,0.864128,0.245,130.2052956,0.1728256,0.15941588,152.7081039
10242.1,0.867555,0.246,130.4064674,0.173511,0.16000011,153.033424
10255.5,0.869792,0.246,130.5770815,0.1739584,0.160381286,153.2920617
10269.6,0.872778,0.247,130.7566083,0.1745556,0.160889863,153.5809065
10282.9,0.87507,0.248,130.9259491,0.175014,0.161280062,153.8398232
10298.7,0.878277,0.248,131.127121,0.1756554,0.161825779,154.1603079
10313.3,0.881528,0.249,131.313014,0.1763056,0.16237868,154.4642337
10327.8,0.883818,0.249,131.4976337,0.1767636,0.162767958,154.7416288
10342.1,0.886833,0.25,131.679707,0.1773666,0.16328025,155.0352889
10355.3,0.889331,0.251,131.8477746,0.1778662,0.163704496,155.2990372
10369.8,0.892578,0.251,132.0323943,0.1785156,0.16425568,155.6022364
10384.4,0.894879,0.252,132.2182873,0.1789758,0.164646095,155.882161
10397.6,0.897926,0.253,132.3863549,0.1795852,0.165162851,156.1609849
10412.7,0.900346,0.253,132.5786141,0.1800692,0.165573081,156.451939
10426.2,0.903338,0.254,132.7505014,0.1806676,0.166080041,156.7342159
10440.8,0.905904,0.255,132.9363944,0.1811808,0.166514616,157.0219167
10455.4,0.908939,0.255,133.1222874,0.1817878,0.167028377,157.3222951
10470,0.911363,0.256,133.3081803,0.1822726,0.167438518,157.606609
10483.4,0.914653,0.257,133.4787944,0.1829306,0.167994919,157.8961504
10497.4,0.916999,0.257,133.657048,0.1833998,0.168391482,158.1697238
10510.6,0.920046,0.258,133.8251156,0.1840092,0.168906307,158.450168
10525.8,0.922438,0.259,134.018648,0.1844876,0.169310276,158.7434267
10540.5,0.925018,0.259,134.2058142,0.1850036,0.169745813,159.034373
10554.1,0.927961,0.26,134.3789748,0.1855922,0.170242397,159.3186644
10568.2,0.931067,0.26,134.5585016,0.1862134,0.170766217,159.6150976
10581.2,0.933481,0.261,134.7240227,0.1866962,0.171173144,159.8764858
10595.8,0.936097,0.262,134.9099157,0.1872194,0.171613934,160.1676691
10610.5,0.939025,0.262,135.0970819,0.187805,0.172107066,160.4689894
10624.9,0.941804,0.263,135.2804284,0.1883608,0.172574879,160.7619581
10638.3,0.944561,0.264,135.4510425,0.1889122,0.173038771,161.0393969
10651.9,0.947202,0.264,135.6242031,0.1894404,0.173482944,161.3169063
10665.5,0.950119,0.265,135.7973636,0.1900238,0.173973307,161.6020947
10679.9,0.953236,0.266,135.9807101,0.1906472,0.174497025,161.9050518
10693.8,0.955644,0.266,136.1576904,0.1911288,0.174901429,162.1813464
10707.3,0.958293,0.267,136.3295778,0.1916586,0.175346118,162.4583138
10721.8,0.961159,0.268,136.5141975,0.1922318,0.175827013,162.7565674
10734.7,0.964346,0.268,136.6784454,0.1928692,0.176361498,163.0395078
10748.6,0.96673,0.269,136.8554257,0.193346,0.176761126,163.3158748
10762.1,0.969405,0.27,137.027313,0.193881,0.177209345,163.5943055
10776.7,0.972262,0.27,137.213206,0.1944524,0.177687838,163.8946432
10788,0.975217,0.271,137.3570821,0.1950434,0.178182503,164.1476744
10803.7,0.978005,0.272,137.5569807,0.195601,0.178648988,164.4632637
10817.9,0.9815,0.272,137.7377807,0.1963,0.17923346,164.7757071
10831.8,0.983871,0.273,137.914761,0.1967742,0.179629771,165.0528278
10845.3,0.986552,0.273,138.0866483,0.1973104,0.180077708,165.3325802
10859.8,0.98939,0.274,138.2712681,0.197878,0.180551658,165.6321101
10872.8,0.991688,0.275,138.4367892,0.1983376,0.180935263,165.8940097
10887.8,0.994587,0.275,138.6277752,0.1989174,0.181418983,166.2032518
10901.1,0.997218,0.276,138.797116,0.1994436,0.181857783,166.4793125
10915,1.00049,0.277,138.9740963,0.200098,0.18240322,166.782535
10929.1,1.00276,0.277,139.1536231,0.200552,0.182781451,167.0611605
10942.1,1.00573,0.278,139.3191442,0.201146,0.183276101,167.3426328
10956.7,1.0083,0.279,139.5050372,0.20166,0.183703934,167.637623
10969.8,1.01159,0.279,139.6718316,0.202318,0.18425136,167.9299572
10984.1,1.01383,0.28,139.8539048,0.202766,0.184623904,168.2115217
10998.2,1.01656,0.281,140.0334316,0.203312,0.185077755,168.5039087
11011.6,1.01942,0.281,140.2040457,0.203884,0.185552997,168.7894074
11024.4,1.02261,0.282,140.3670204,0.204522,0.186082808,169.0751641
11038.9,1.02497,0.283,140.5516401,0.204994,0.186474588,169.363883
11051.9,1.02827,0.283,140.7171612,0.205654,0.187022158,169.6562083
11066.4,1.03097,0.284,140.901781,0.206194,0.187469948,169.9548828
11080.6,1.03368,0.285,141.082581,0.206736,0.187919194,170.2494295
11095.5,1.03602,0.285,141.2722937,0.207204,0.188306942,170.544478
11109.5,1.03927,0.286,141.4505472,0.207854,0.188845231,170.8516093
11122.9,1.04202,0.286,141.6211613,0.208404,0.189300481,171.1355778
11134.8,1.04489,0.287,141.7726768,0.208978,0.189775375,171.4000473
11150.3,1.04808,0.288,141.970029,0.209616,0.190302954,171.7292185
11163.2,1.05041,0.288,142.1342769,0.210082,0.190688126,171.99413
11176.9,1.05347,0.289,142.3087107,0.210694,0.191193749,172.2923022
11190.6,1.05611,0.29,142.4831445,0.211222,0.191629767,172.5787192
11202.6,1.05811,0.29,142.6359332,0.211622,0.191959958,172.8208347
11217.7,1.06154,0.291,142.8281924,0.212308,0.192525981,173.1517603
11231.4,1.06423,0.292,143.0026262,0.212846,0.192969664,173.4401632
11245.8,1.06702,0.292,143.1859727,0.213404,0.193429633,173.742432
11260.1,1.06933,0.293,143.368046,0.213866,0.193810308,174.0295965
11273,1.07263,0.294,143.5322939,0.214526,0.194353877,174.3237028
11286.7,1.07541,0.294,143.7067277,0.215082,0.194811564,174.6154581
11300.4,1.07819,0.295,143.8811615,0.215638,0.195269042,174.9074074
11314.9,1.08043,0.296,144.0657812,0.216086,0.195637505,175.1963797
11327.5,1.08351,0.296,144.2262094,0.216702,0.19614392,175.4803175
11341.6,1.08602,0.297,144.4057362,0.217204,0.196556425,175.7712397
11355.7,1.08928,0.298,144.585263,0.217856,0.197091936,176.08403
11369.6,1.09213,0.298,144.7622433,0.218426,0.197559862,176.382081
11382.7,1.09484,0.299,144.9290377,0.218968,0.198004599,176.6638592
11397.3,1.09761,0.299,145.1149306,0.219522,0.198458979,176.9708504
11411.8,1.10034,0.3,145.2995504,0.220068,0.198906595,177.2753318
11424.8,1.10267,0.301,145.4650715,0.220534,0.199288468,177.5450656
11439.3,1.1059,0.301,145.6496912,0.22118,0.199817604,177.8644899
11453.8,1.10867,0.302,145.834311,0.221734,0.200271161,178.1707361
11467.2,1.11143,0.303,146.0049251,0.222286,0.200722876,178.4597758
11481,1.1137,0.303,146.1806321,0.22274,0.201094242,178.7409061
11494.5,1.11699,0.304,146.3525195,0.223398,0.201632233,179.0473796
11509.6,1.11976,0.305,146.5447786,0.223952,0.202084968,179.3637749
11523.2,1.1225,0.305,146.7179392,0.2245,0.202532597,179.6561166
11536,1.12482,0.306,146.8809139,0.224964,0.202911456,179.9238318
11550.6,1.12797,0.307,147.0668069,0.225594,0.203425624,180.2441961
11565.1,1.13099,0.307,147.2514266,0.226198,0.203918325,180.5594048
11578.6,1.13389,0.308,147.4233139,0.226778,0.20439122,180.8556782
11592.6,1.13685,0.309,147.6015675,0.22737,0.204873669,181.1617359
11605.8,1.13914,0.309,147.7696351,0.227828,0.205246755,181.4356955
11621,1.14194,0.31,147.9631675,0.228388,0.205702741,181.7561794
11634.6,1.14464,0.311,148.1363281,0.228928,0.206142245,182.0488814
11649.1,1.14696,0.311,148.3209478,0.229392,0.206519738,182.3445867
11661.9,1.15017,0.312,148.4839225,0.230034,0.207041811,182.6402731
11675.6,1.153,0.312,148.6583563,0.2306,0.207501855,182.9389732
11689.4,1.15574,0.313,148.8340633,0.231148,0.207947067,183.2367594
11703.9,1.15807,0.314,149.0186831,0.231614,0.208325504,183.5334963
11717,1.16111,0.314,149.1854775,0.232222,0.208819044,183.8296274
11732.1,1.16342,0.315,149.3777366,0.232684,0.209193906,184.1355459
11745.8,1.16652,0.316,149.5521704,0.233304,0.209696747,184.44329
11760.8,1.16922,0.316,149.7431564,0.233844,0.210134499,184.759695
11773.2,1.17286,0.317,149.9010381,0.234572,0.210724351,185.0636244
11788.6,1.17517,0.318,150.097117,0.235034,0.2110985,185.3750428
11801.8,1.17821,0.318,150.2651846,0.235642,0.211590673,185.6739732
11817.2,1.18057,0.319,150.4612635,0.236114,0.211972588,185.9872742
11830.8,1.18387,0.32,150.6344241,0.236774,0.212506377,186.3007392
11845.3,1.18624,0.32,150.8190438,0.237248,0.212889558,186.6005603
11859.8,1.18923,0.321,151.0036635,0.237846,0.213372772,186.9192809
11873.5,1.19157,0.322,151.1780973,0.238314,0.213750777,187.2059544
11887.3,1.19429,0.322,151.3538044,0.238858,0.214189988,187.5058714
11901.9,1.19717,0.323,151.5396974,0.239434,0.214654824,187.8234533
11915,1.20035,0.323,151.7064918,0.24007,0.21516783,188.1266692
11930.9,1.20252,0.324,151.9089368,0.240504,0.215517749,188.4436438
11945.4,1.20515,0.325,152.0935566,0.24103,0.21594168,188.7526665
11958.6,1.20821,0.325,152.2616242,0.241642,0.216434697,189.0544276
11972.9,1.21136,0.326,152.4436975,0.242272,0.216941961,189.3765369
11987.5,1.21371,0.327,152.6295904,0.242742,0.217320229,189.6792025
12001,1.21639,0.327,152.8014778,0.243278,0.21775144,189.9747157
12014.9,1.21927,0.328,152.9784581,0.243854,0.218214624,190.282867
12028,1.22257,0.329,153.1452524,0.244514,0.218745092,190.5914107
12043.4,1.22543,0.329,153.3413313,0.245086,0.219204604,190.9231449
12056.8,1.22805,0.33,153.5119454,0.24561,0.21962537,191.2160143
12071.4,1.23047,0.331,153.6978384,0.246094,0.220013859,191.5219542
12085.9,1.23347,0.331,153.8824581,0.246694,0.220495248,191.8443373
12099.9,1.23581,0.332,154.0607117,0.247162,0.22087057,192.1386653
12114.3,1.23849,0.333,154.2440582,0.247698,0.221300253,192.4500029
12129.2,1.24161,0.333,154.4337709,0.248322,0.221800249,192.7830737
12142.6,1.24453,0.334,154.604385,0.248906,0.222267968,193.086344
12158.2,1.24682,0.335,154.8030103,0.249364,0.222634622,193.4053082
12172.6,1.24951,0.335,154.9863568,0.249902,0.223065148,193.7177574
12186.5,1.25235,0.336,155.1633371,0.25047,0.223519481,194.0270982
12202.1,1.25545,0.336,155.3619625,0.25109,0.224015171,194.3717976
12215.3,1.25785,0.337,155.5300301,0.25157,0.224398763,194.6567198
12229.8,1.26054,0.338,155.7146498,0.252108,0.224828531,194.9715588
12244.4,1.26335,0.338,155.9005428,0.25267,0.225277273,195.291933
12258.9,1.26654,0.339,156.0851625,0.253308,0.225786456,195.6227829
12273.5,1.26884,0.34,156.2710555,0.253768,0.226153417,195.9276487
12288,1.27155,0.34,156.4556753,0.25431,0.226585621,196.243918
12301.3,1.27439,0.341,156.6250161,0.254878,0.227038357,196.545287
12317.1,1.27757,0.342,156.826188,0.255514,0.22754505,196.8974746
12331.2,1.28028,0.342,157.0057147,0.256056,0.227976653,197.20797
12344.5,1.28313,0.343,157.1750556,0.256626,0.228430352,197.5102614
12359.1,1.28639,0.344,157.3609486,0.257278,0.228949067,197.8464587
12373.7,1.28863,0.344,157.5468415,0.257726,0.229305329,198.1507588
12389.4,1.29157,0.345,157.7467402,0.258314,0.22977273,198.4949316
12402.7,1.29413,0.346,157.916081,0.258826,0.230179541,198.7888686
12416,1.29665,0.346,158.0854219,0.25933,0.230579834,199.0817143
12431.8,1.29961,0.347,158.2865937,0.259922,0.231049814,199.4287617
12446.4,1.30187,0.348,158.4724867,0.260374,0.231408502,199.7346019
12460.9,1.30461,0.348,158.6571064,0.260922,0.231843199,200.054236
12476.8,1.30733,0.349,158.8595515,0.261466,0.232274537,200.395923
12491.7,1.31056,0.349,159.0492642,0.262112,0.232786508,200.737985
12506.2,1.31281,0.35,159.2338839,0.262562,0.23314299,201.042651
12520.7,1.31586,0.351,159.4185037,0.263172,0.233626018,201.3729901
12535.3,1.31916,0.351,159.6043967,0.263832,0.234148375,201.7131438
12551.6,1.32151,0.352,159.8119347,0.264302,0.234520191,202.0505487
12566.4,1.32448,0.353,160.0003741,0.264896,0.234989905,202.3838333
12581.4,1.32693,0.353,160.1913601,0.265386,0.235377214,202.7039044
12596.4,1.32947,0.354,160.382346,0.265894,0.235778592,203.0270495
12611.4,1.33242,0.355,160.5733319,0.266484,0.236244557,203.3635557
12625.9,1.33544,0.355,160.7579517,0.267088,0.236721354,203.6944715
12640.4,1.33791,0.356,160.9425714,0.267582,0.237111149,204.0079066
12655,1.34045,0.357,161.1284644,0.26809,0.237511831,204.3253944
12671.2,1.34336,0.357,161.3347292,0.268672,0.237970684,204.6808536
12684.8,1.34643,0.358,161.5078898,0.269286,0.238454538,204.9997034
12701.2,1.34882,0.359,161.7167011,0.269764,0.238831056,205.3420452
12715.7,1.35131,0.359,161.9013208,0.270262,0.239223178,205.6570955
12732.2,1.35384,0.36,162.1114053,0.270768,0.239621442,206.0059863
12746,1.35733,0.361,162.2871124,0.271466,0.240170565,206.3425456
12761.9,1.35974,0.361,162.4895575,0.271948,0.240549584,206.6782676
12776.5,1.36299,0.362,162.6754504,0.272598,0.24106048,207.0204529
12790.9,1.36527,0.362,162.8587969,0.273054,0.241418738,207.3280429
12805.9,1.36828,0.363,163.0497829,0.273656,0.241891505,207.6693342
12821,1.3707,0.364,163.242042,0.27414,0.242271441,207.9932154
12835.8,1.37394,0.364,163.4304815,0.274788,0.24277989,208.3392166
12850.9,1.37624,0.365,163.6227407,0.275248,0.243140669,208.6595728
12867.1,1.37919,0.366,163.8290055,0.275838,0.243603218,209.0192707
12881.6,1.38161,0.366,164.0136252,0.276322,0.243982504,209.3341981
12896.1,1.38418,0.367,164.1982449,0.276836,0.244385143,209.6542303
12912.2,1.38704,0.368,164.4032365,0.277408,0.244833025,210.0100095
12925.6,1.39012,0.368,164.5738506,0.278024,0.245315135,210.3293308
12942.4,1.39215,0.369,164.7877548,0.27843,0.245632763,210.6696094
12957.1,1.39509,0.37,164.9749211,0.279018,0.246092596,211.0058936
12972.3,1.39799,0.37,165.1684535,0.279598,0.246545966,211.3492227
12986.8,1.40104,0.371,165.3530732,0.280208,0.247022565,211.6863271
13003,1.40343,0.372,165.559338,0.280686,0.247395872,212.0295263
13017.6,1.40602,0.372,165.745231,0.281204,0.247800261,212.3534529
13033.6,1.40887,0.373,165.9489493,0.281774,0.248245056,212.7090485
13048.6,1.41196,0.374,166.1399352,0.282392,0.248727084,213.0565238
13063.9,1.41433,0.374,166.3347409,0.282866,0.249096637,213.3851837
13079.6,1.4169,0.375,166.5346395,0.28338,0.249497223,213.7272256
13095.3,1.41974,0.375,166.7345381,0.283948,0.249939706,214.0784767
13110.1,1.42286,0.376,166.9229776,0.284572,0.250425589,214.4245831
13126.1,1.42519,0.377,167.1266959,0.285038,0.25078829,214.764155
13142.4,1.42812,0.377,167.3342339,0.285624,0.251244204,215.1289072
13158.5,1.43065,0.378,167.5392255,0.28613,0.251637709,215.4772241
13171.8,1.43374,0.379,167.7085664,0.286748,0.252118105,215.7986623
13188.7,1.43603,0.379,167.9237438,0.287206,0.252473978,216.1524506
13203.6,1.43857,0.38,168.1134565,0.287714,0.252868553,216.4820516
13218.5,1.44147,0.381,168.3031692,0.288294,0.253318863,216.8239631
13234.6,1.44458,0.381,168.5081608,0.288916,0.253801555,217.1928646
13249.7,1.44692,0.382,168.70042,0.289384,0.254164585,217.5196223
13265.3,1.44953,0.383,168.8990453,0.289906,0.254569348,217.863892
13281.3,1.45233,0.383,169.1027637,0.290466,0.255003393,218.221367
13296.3,1.45547,0.384,169.2937496,0.291094,0.255489921,218.5741443
13312.3,1.45776,0.385,169.4974679,0.291552,0.255844596,218.9147937
13327.9,1.46039,0.385,169.6960933,0.292078,0.256251775,219.2605888
13343.1,1.46321,0.386,169.8896257,0.292642,0.256688186,219.6064655
13360.6,1.4659,0.386,170.1124426,0.29318,0.257104301,219.9860085
13374.4,1.46863,0.387,170.2881497,0.293726,0.257526427,220.3062067
13391.1,1.47122,0.388,170.5007807,0.294244,0.257926741,220.6696124
13406.3,1.47403,0.388,170.6943131,0.294806,0.258360877,221.0160207
13420.5,1.47714,0.389,170.8751131,0.295428,0.258841142,221.356406
13438.2,1.47943,0.39,171.1004765,0.295886,0.259194631,221.7267121
13453.2,1.48205,0.39,171.2914624,0.29641,0.259598906,222.0639648
13468.1,1.48487,0.391,171.4811751,0.296974,0.260033859,222.4066256
13485.7,1.48798,0.392,171.7052653,0.297596,0.260513322,222.8040654
13500.7,1.49026,0.392,171.8962512,0.298052,0.260864679,223.1302727
13517.3,1.49289,0.393,172.107609,0.298578,0.26126982,223.4951547
13532.7,1.49567,0.394,172.3036879,0.299134,0.261697889,223.8455792
13549,1.49881,0.394,172.5112259,0.299762,0.262181171,224.223536
13565.5,1.50092,0.395,172.7213104,0.300184,0.262505793,224.5694843
13582,1.5035,0.396,172.931395,0.3007,0.262902581,224.9318654
13596.2,1.50727,0.396,173.112195,0.301454,0.263482101,225.2975586
13613.7,1.50963,0.397,173.3350119,0.301926,0.263844707,225.6693587
13627.1,1.51263,0.398,173.505626,0.302526,0.264305456,225.995589
13643.7,1.51509,0.398,173.7169838,0.303018,0.264683112,226.3563568
13660.4,1.51749,0.399,173.9296148,0.303498,0.26505142,226.716905
13675.3,1.5205,0.399,174.1193275,0.3041,0.265513148,227.0690149
13691.5,1.52343,0.4,174.3255923,0.304686,0.265962399,227.4401597
13707.8,1.52537,0.401,174.5331303,0.305074,0.266259744,227.7786505
13723.8,1.52805,0.401,174.7368486,0.30561,0.266670365,228.138177
13741.8,1.5312,0.402,174.9660318,0.30624,0.267152781,228.5476293
13757.2,1.53344,0.403,175.1621106,0.306688,0.267495692,228.882228
13774.3,1.5366,0.403,175.3798346,0.30732,0.26797924,229.2775654
13789.8,1.53951,0.404,175.5771867,0.307902,0.268424327,229.6377537
13806.6,1.54197,0.405,175.791091,0.308394,0.268800431,230.0040087
13822.8,1.54492,0.405,175.9973558,0.308984,0.269251264,230.3777228
13838.2,1.54738,0.406,176.1934347,0.309476,0.269627057,230.7210741
13853.6,1.5506,0.407,176.3895136,0.31012,0.270118736,231.0914295
13871.1,1.55272,0.407,176.6123305,0.310544,0.270442318,231.45823
13886.8,1.55573,0.408,176.8122291,0.311146,0.270901564,231.8266469
13904,1.55812,0.409,177.0312263,0.311624,0.271266064,232.1984052
13919.7,1.5606,0.409,177.2311249,0.31212,0.27164415,232.5485036
13936.3,1.56351,0.41,177.4424827,0.312702,0.272087608,232.9291019
13951.3,1.56574,0.411,177.6334686,0.313148,0.272427308,233.259034
13967.9,1.56892,0.411,177.8448264,0.313784,0.272911523,233.6496874
13984.5,1.57138,0.412,178.0561841,0.314276,0.273285944,234.0149695
14001.2,1.57427,0.412,178.2688151,0.314854,0.273725633,234.3974647
14017.3,1.57695,0.413,178.4738067,0.31539,0.2741332,234.7626606
14033.4,1.57959,0.414,178.6787983,0.315918,0.274534521,235.1266469
14049.4,1.58286,0.414,178.8825166,0.316572,0.275031389,235.5117126
14064.4,1.58514,0.415,179.0735025,0.317028,0.275377683,235.8448169
14081,1.58808,0.416,179.2848603,0.317616,0.275824043,236.2286005
14098.4,1.59043,0.416,179.506404,0.318086,0.276180684,236.604878
14114.8,1.59292,0.417,179.7152153,0.318584,0.276558434,236.9696074
14132.5,1.59576,0.418,179.9405787,0.319152,0.276989106,237.3689742
14147.9,1.59879,0.418,180.1366575,0.319758,0.277448386,237.7367949
14165.1,1.60114,0.419,180.3556548,0.320228,0.277804449,238.1105854
14181.6,1.60359,0.42,180.5657393,0.320718,0.278175528,238.476422
14199.1,1.60646,0.42,180.7885562,0.321292,0.278610046,238.874473
14215.9,1.60945,0.421,181.0024604,0.32189,0.279062531,239.2653424
14232.9,1.61157,0.422,181.2189112,0.322314,0.279383232,239.6283033
14248.8,1.61482,0.422,181.4213563,0.322964,0.279874674,240.0139232
14265.6,1.61726,0.423,181.6352605,0.323452,0.280243475,240.3855488
14282.5,1.62018,0.424,181.850438,0.324036,0.280684647,240.7765265
14299.8,1.62249,0.424,182.0707084,0.324498,0.28103352,241.1522892
14316.5,1.62566,0.425,182.2833394,0.325132,0.281512077,241.5494861
14332.2,1.62797,0.425,182.483238,0.325594,0.281860661,241.8986854
14350.1,1.63082,0.426,182.7111479,0.326164,0.282290564,242.3049468
14366.8,1.63353,0.427,182.9237789,0.326706,0.282699178,242.686075
14385.3,1.63581,0.427,183.1593282,0.327162,0.283042828,243.0821004
14401.9,1.63859,0.428,183.370686,0.327718,0.283461679,243.4645605
14418.6,1.64117,0.429,183.583317,0.328234,0.28385024,243.8416035
14435.2,1.64434,0.429,183.7946748,0.328868,0.284327452,244.2388619
14451.8,1.64735,0.43,184.0060325,0.32947,0.284780367,244.6305001
14468.1,1.64936,0.431,184.2135706,0.329872,0.285082697,244.9804695
14486.1,1.65221,0.431,184.4427537,0.330442,0.285511218,245.3903861
14501.7,1.655,0.432,184.6413791,0.331,0.285930539,245.7576755
14520,1.65717,0.433,184.8743819,0.331434,0.286256557,246.1480378
14536.4,1.65995,0.433,185.0831932,0.33199,0.286674065,246.5289625
14553,1.66248,0.434,185.2945509,0.332496,0.287053875,246.904248
14571.3,1.66565,0.435,185.5275538,0.33313,0.287529561,247.3323478
14587.8,1.66775,0.435,185.7376383,0.33355,0.287844559,247.6904276
14604.2,1.67066,0.436,185.9464496,0.334132,0.288280893,248.0771087
14621.4,1.67311,0.437,186.1654468,0.334622,0.288648106,248.4605009
14638.2,1.67633,0.437,186.379351,0.335266,0.289130523,248.8660105
14656.1,1.67848,0.438,186.6072609,0.335696,0.289452504,249.250572
14672,1.68129,0.438,186.809706,0.336258,0.28987317,249.6259641
14691.1,1.68354,0.439,187.0528948,0.336708,0.290209875,250.0351008
14707.8,1.68687,0.44,187.2655258,0.337374,0.29070799,250.4440452
14724.5,1.68913,0.44,187.4781568,0.337826,0.291045908,250.8131526
14741.1,1.69196,0.441,187.6895145,0.338392,0.291468893,251.2021447
14759.6,1.6944,0.442,187.9250638,0.33888,0.291833444,251.6091095
14776.3,1.69759,0.442,188.1376948,0.339518,0.292309848,252.0138287
14795.8,1.69966,0.443,188.3859766,0.339932,0.292618866,252.4243983
14811.4,1.70255,0.444,188.5846019,0.34051,0.293050139,252.7995447
14829.2,1.70501,0.444,188.8112386,0.341002,0.293417096,253.1962485
14845.8,1.70819,0.445,189.0225963,0.341638,0.293891256,253.5998981
14864.1,1.71031,0.446,189.2555992,0.342062,0.294207237,253.9927479
14880.5,1.71315,0.446,189.4644105,0.34263,0.294630377,254.3806014
14898.6,1.71551,0.447,189.6948668,0.343102,0.294981864,254.779555
14916.1,1.71879,0.448,189.9176837,0.343758,0.295470166,255.2034069
14934.8,1.72143,0.448,190.1557795,0.344286,0.295863017,255.6237522
14951.1,1.72408,0.449,190.3633176,0.344816,0.296257201,256.0036353
14969,1.72667,0.449,190.5912275,0.345334,0.296642309,256.4088584
14986.9,1.72935,0.45,190.8191373,0.34587,0.297040644,256.8177524
15005.5,1.73145,0.451,191.0559599,0.34629,0.297352661,257.2167282
15022.2,1.73464,0.451,191.2685909,0.346928,0.297826444,257.6250206
15039.7,1.73725,0.452,191.4914078,0.34745,0.298213917,258.0250975
15057.1,1.73994,0.453,191.7129515,0.347988,0.29861311,258.4267581
15075.4,1.74206,0.453,191.9459543,0.348412,0.298927604,258.8222282
15092.5,1.74495,0.454,192.1636783,0.34899,0.299356164,259.2268804
15110.3,1.74736,0.455,192.3903149,0.349472,0.299713405,259.6253431
15128.2,1.75048,0.455,192.6182248,0.350096,0.300175701,260.0530948
15145.2,1.75265,0.456,192.8346755,0.35053,0.300497108,260.4290143
15163.4,1.75567,0.457,193.0664051,0.351134,0.30094424,260.8585842
15180.6,1.75825,0.457,193.2854023,0.35165,0.301326068,261.2542141
15198.5,1.76108,0.458,193.5133122,0.352216,0.301744728,261.671797
15218.4,1.76314,0.459,193.7666869,0.352628,0.302049367,262.0942461
15235.5,1.76631,0.459,193.9844108,0.353262,0.302517974,262.5117318
15253.3,1.76894,0.46,194.2110475,0.353788,0.302906589,262.9205855
15271.2,1.77158,0.461,194.4389574,0.354316,0.30329653,263.331791
15288.2,1.77374,0.461,194.6554081,0.354748,0.303615459,263.7090248
15307,1.77661,0.462,194.8947771,0.355322,0.304039064,264.1451791
15324.9,1.77898,0.462,195.122687,0.355796,0.304388736,264.5465585
15342.4,1.78207,0.463,195.3455039,0.356414,0.304844453,264.9693763
15361.4,1.78424,0.464,195.5874194,0.356848,0.305164363,265.3823989
15377,1.78719,0.464,195.7860448,0.357438,0.3055991,265.7674171
15396.1,1.78947,0.465,196.0292335,0.357894,0.30593497,266.1869201
15414.8,1.79234,0.466,196.2673293,0.358468,0.306357594,266.6228864
15432.9,1.79575,0.466,196.4977857,0.35915,0.306859504,267.0699654
15451.1,1.79786,0.467,196.7295153,0.359572,0.307169944,267.4679406
15468.3,1.80054,0.468,196.9485125,0.360108,0.307564108,267.8712474
15487.3,1.80314,0.468,197.190428,0.360628,0.307946358,268.3028177
15506,1.80529,0.469,197.4285238,0.361058,0.308262338,268.7116718
15523.4,1.8084,0.47,197.6500675,0.36168,0.308719232,269.1361439
15542,1.81106,0.47,197.88689,0.362212,0.309109849,269.5638963
15560,1.81364,0.471,198.1160732,0.362728,0.309488573,269.9783201
15577.6,1.81584,0.472,198.3401633,0.363168,0.309811403,270.3709638
15597.9,1.81865,0.472,198.5986309,0.36373,0.310223593,270.834911
15615.9,1.82097,0.473,198.8278141,0.364194,0.310563778,271.239711
15633.7,1.82411,0.474,199.0544507,0.364822,0.311024017,271.6738935
15653.9,1.82623,0.474,199.3116451,0.365246,0.311334632,272.1094262
15670.5,1.82983,0.475,199.5230029,0.365966,0.311861871,272.5416381
15690,1.83143,0.475,199.7712846,0.366286,0.31209611,272.9447093
15708,1.83456,0.476,200.0004677,0.366912,0.312554181,273.3830393
15725.7,1.83678,0.477,200.2258311,0.367356,0.312878948,273.7799915
15745.9,1.83958,0.477,200.4830255,0.367916,0.313288414,274.2439383
15764.6,1.84186,0.478,200.7211213,0.368372,0.313621712,274.6611622
15783.1,1.84493,0.479,200.9566706,0.368986,0.31407032,275.1068686
15803.5,1.84711,0.479,201.2164115,0.369422,0.314388753,275.5501806
15820.9,1.85016,0.48,201.4379551,0.370032,0.314834097,275.9764445
15840.3,1.85324,0.481,201.6849636,0.370648,0.315283621,276.439092
15859.1,1.8557,0.481,201.9243326,0.37114,0.315642511,276.8665295
15876.9,1.85848,0.482,202.1509693,0.371696,0.31604793,277.289676
15894.9,1.86018,0.483,202.3801524,0.372036,0.316295768,277.6728548
15914.2,1.86386,0.483,202.6258876,0.372772,0.316832053,278.159145
15933.2,1.86609,0.484,202.8678031,0.373218,0.317156891,278.5817189
15951.8,1.86842,0.485,203.1046257,0.373684,0.317496182,279.0015746
15970.6,1.87089,0.485,203.3439947,0.374178,0.317855734,279.430844
15988.4,1.87366,0.486,203.5706314,0.374732,0.318258803,279.8550612
16008.1,1.87657,0.487,203.8214596,0.375314,0.318682069,280.3185068
